TGrepID	EntireSentence	context	BestResponse
47787:16	but a lot women die or shop at foley's	###SpeakerB128*t128 . ###Uh-huh . E_S ###SpeakerA129*t129 . ###and he 's , you know , E_S ###a lot of wisdom in it . E_S ###And the kids at BIBLE talk about anything \[ but training , \+ E_S ###and training \] is different than anything else E_S ###\[ in , \+ in \] psychology does n't address it . E_S ###\[ A lot of the psychology stuff , \+ the good stuff that -N40843A 's in psychology \] it just comes out of the BIBLE E_S ###and they do n't quote you the proverb out of it , E_S ###but the things that -N4085F0 work in psychology other the years that they 've proven -N40861F to work , they just come out of the BIBLE E_S ###and so this book it just really MUMBLEx all these things and how -NONE- to train the child -N408798 E_S ###so they 're not going -N40885E to be a curse to you when they 're thirteen -N40888D . E_S ###SpeakerB130*t130 . ###Uh-huh . E_S ###SpeakerA131*t131 . ###\[ What \+ I mean how \] -NONE- to train them so they 're going -N40898A to be a blessing -N4089A1 E_S ###and so , you know , they do that E_S ###and \[ they , \+ they \] just live -N408B22 lean pretty much E_S ###\[ they do n't , \+ she does n't \] shop at Foley 's you know , and stuff like that . E_S 	but a lot women die or shop at foley's but not both.
57177:94	and, uh, you know, whenever he was going to school, he was expecting to having to wear, uh, a tie or a dress shirt everyday.	###SpeakerA17*t17 . ###And , uh , you know , a lot of people like those that -N401DBE work in the legal department for \[ their , \+ the \] real , uh , higher ups , like \[ the \+ the , lawy- , \] \+ the T I lawyers , \] and , uh , those that -N401E6D work for \[ the , \+ the \] higher executives , those secretaries . \[ They , \+ uh , they \] really dress up all the time . E_S ###SpeakerB18*t18 . ###Uh-huh . E_S ###SpeakerA19*t18 . ###SpeakerB20*t20 . ###Oh . E_S ###SpeakerA21*t21 . ###So there 's a good combination in the hallways all the time , you know . E_S ###SpeakerB22*t22 . ###Well that 's good that they 're so casual . E_S ###SpeakerA23*t23 . ###Yeah . E_S ###SpeakerB24*t24 . ###I mean , uh , my brother works for T I E_S ###and he 's a \[ computer programmer , \+ or computer engineer . \] E_S ###SpeakerA25*t25 . ###Uh-huh , E_S ###uh-huh . E_S ###SpeakerB26*t26 . 	and, uh, you know, whenever he was going to school , he was expecting  to  having  to wear, uh, a tie or a dress shirt but not both everyday.
151896:22	so we go backpacking fifteen or twenty miles,	###It does n't get very cold in Texas , E_S ###SpeakerA33*t32 . ###SpeakerB34*t34 . ###so lots of times we do n't even take tents . E_S ###SpeakerA35*t35 . ###Oh , is that right . E_S ###SpeakerB36*t36 . ###We just use trail tarps . E_S ###SpeakerA37*t37 . ###Oh , and what does that consist of -N401DA9 . E_S ###SpeakerB38*t38 . ###Uh , it 's just a piece of material \[ that -N401E30 has , \+ uh , that -N401E4B has \] a lot of places where you can tie off to it and make it into a tent uh , like a , uh -N401EB2 , E_S ###SpeakerA39*t39 . ###Oh . E_S ###SpeakerB40*t39 . ###SpeakerA41*t41 . ###Uh-huh . E_S ###SpeakerB42*t42 . ###they 're very light weight E_S ###and we use them when we go -N402108 backpacking -N402113 . E_S 	so we go  backpacking fifteen or twenty miles but not both,
115553:41	you want to go ahead and tell me your favorite team, or who you think will be doing well this year.	###\[ It , \+ it \] did n't help me that much . E_S ###SpeakerB81*t81 . ###Uh-huh . E_S ###I see . E_S ###SpeakerA82*t82 . ###But , uh , I think -NONE- once you 're set -N403770 in your ways , you 're set -N403793 in your ways . E_S ###SpeakerB83*t83 . ###Yeah . E_S ###SpeakerA84*t84 . ###Uh , then I , E_S ###one \[ in- , \+ real interesting \] book -NONE- I read -N4038F3 recently was , when I was looking for a job -N403922 , E_S ###I read , HOW -NONE- TO GET THE JOB THAT YOU WANTED -N403A4A -N403A51 E_S ###and , \[ it , \+ it \] had real good tips E_S ###and it , E_S ###and I got the job that I wanted -N403BC9 by -NONE- applying \[ the , \+ the \] methods \[ that , \+ that , \] E_S ###SpeakerB85*t85 . ###Uh-huh . E_S ###SpeakerA86*t85 . ###SpeakerA1*t1 . ###Okay , E_S 	you want  to go ahead and tell me your favorite team, or who you think  will be doing well this year but not both.
168438:37	i've never had a, a punishment or a, a crime like a murder touch my immediate family	###SpeakerB8*t7 . ###SpeakerA9*t9 . ###When I was younger -N400414 I thought -NONE- it was , uh , a sign of a civilized society if you did n't have , uh , capital punishment E_S ###but , um , uh -NONE- , maybe slowly changing my opinion . E_S ###SpeakerB10*t10 . ###Yeah . E_S ###SpeakerA11*t11 . ###I 'm not thoroughly opposed to it . E_S ###I still think -NONE- it -N400695 's sort of true that a more civilized society would n't have -N4006CC to use capital punishment E_S ###but I 'm beginning -N4007C8 to believe -NONE- this is less civilized society than I thought -NONE- . E_S ###SpeakerB12*t12 . ###You sound a lot like a friend of mine . \[ A \+ a \] girl -NONE- I hang out with -N4008FF . E_S ###SpeakerA13*t13 . ###Uh-huh . E_S ###SpeakerB14*t14 . ###She has \[ very , \+ very \] black and white opinions , you know . E_S ###There 's no gray in her opinions , you know . E_S ###\[ She , \+ she \] probably would agree more with you E_S ###\[ but , \+ but \] I do n't know . E_S ###I think -NONE- I would rather -N400C7D -NONE- a person go ahead and be put -N400CA4 down than -NONE- give them the opportunity -NONE- to get out and do it again . E_S 	i've never had a, a punishment or a, a crime but not both like a murder touch my immediate family
50432:162	it's, it's, uh, there, there is, there is, itf's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them.	###yes . E_S ###SpeakerA113*t113 . ###So you guys are well aware of the problems with the Japanese markets and everything else . E_S ###SpeakerB114*t114 . ###Right , E_S ###right , E_S ###that 's an everyday occurrence . E_S ###SpeakerA115*t115 . ###Yeah . E_S ###\[ It 's , \+ it 's \] like our car industry , E_S ###the only reason -NONE- our car industry has n't gone down the tubes -N405AC8 is because the Japanese , you know , came into it and helped , us out . E_S ###SpeakerB116*t116 . ###Uh-huh . E_S ###SpeakerA117*t116 . ###SpeakerB118*t118 . ###Uh-huh . E_S ###SpeakerA119*t118 . ###SpeakerB120*t120 . ###I agree . E_S ###Yeah , E_S 	it's, it's, uh, there, there is, there is, it 's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them but not both.
62411:39	and i don't think you could have done it fifty or a hundred years ago either.	###Right , E_S ###yeah . E_S ###SpeakerA77*t77 . ###Um , and one of the quick examples is the Aborigines . E_S ###SpeakerB78*t78 . ###Yeah , E_S ###uh-huh . E_S ###SpeakerA79*t79 . ###Uh , when we were in Australia -N405424 , , uh , E_S ###sad little things . Uh , I felt sorry for them . Because their society is n't there anymore , E_S ###and their belief system and \[ a- , \+ all \] their structured of theirs , \+ all the structures of their \] society are gone , essentially . E_S ###SpeakerB80*t80 . ###Yeah . E_S ###SpeakerA81*t81 . ###And they 're just kind of more like a side show than anything else E_S ###and that 's sad . E_S ###SpeakerB82*t82 . ###Yeah . E_S ###SpeakerA83*t83 . ###But I do n't think -NONE- there 's any way -NONE- \[ you could go , \+ uh , the Peace Corps could go \] in and rescue those people -N40587E , E_S 	and i don't think you could have done it fifty or a hundred but not both years ago either.
98949:15	they can find guilt or innocence	###Yeah , E_S ###very much so . E_S ###Yeah , E_S ###\[ that , \+ those \] are some important points . E_S ###Yeah , E_S ###I , E_S ###\[ that 's , \+ those are , \] E_S ###SpeakerA132*t132 . ###\[ What are , \+ what does \] your city have -N4071D3 for gun control if anything . E_S ###SpeakerB133*t133 . ###Well , see Maryland is one of the most , E_S ###we just voted in , uh , \[ gun control , \+ strong gun control \] here in the state of Maryland . E_S ###\[ I , \+ I \] think , E_S ###SpeakerA134*t133 . ###SpeakerB1*t1 . ###Okay . E_S ###SpeakerA2*t2 . ###Okay . E_S ###Well , \[ I , \+ uh , I \] guess because I work quite a bit with lawyers , I 'm not a lawyer , uh , that -N4000AE I find -NONE- a lot of things are so specialized that I 'm not sure , E_S ###and \[ I , \+ I \] look at it more from the civil side of things that juries have any sense \[ of , \+ of \] the value of , and worth , so that they have real problems when it comes to , uh , uh -N400339 , E_S 	they can find guilt or innocence but not both.
99180:110	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more in the winter than i do in the summer.	###No , E_S ###you try -N401634 to layer , so you can add \[ or , \+ or \] \+ or \] take off . E_S ###SpeakerA23*t23 . ###-NONE- Subtract . E_S ###SpeakerB24*t23 . ###SpeakerA25*t25 . ###Right . E_S ###SpeakerB26*t26 . ###And \[ it 's , \+ it -N4017AF 's \] interesting -NONE- to notice when you go to different schools -N4017E2 that some are a little more fancier than others and have a very casual , uh , E_S ###SpeakerA27*t27 . ###\[ I , \+ I \] think -NONE- some of the dress codes are different at different schools . E_S ###That 's \[ one of things , \+ one of the things \] -NONE- I ask about -N401AC8 , you know , \[ whether , \+ whether \] she would allow slacks E_S ###and she said -NONE- she does n't have a problem with that , E_S ###she just did n't like sloppy dressing . E_S ###SpeakerB28*t28 . ###Uh-huh . E_S ###SpeakerA29*t29 . ###\[ And , \+ and \] I said , well , you know , that was okay . E_S ###And I 'm , E_S ###basically , \[ I just , \+ you know , I wear \] slacks year round except \[ every , \+ \] about once a week I try -N401EDE to wear a skirt . E_S 	and, and in the winter, you know, i just add a, maybe wear longer sleeve shirts than i do in the summer. and add a heavier jacket or, you know, wear jackets more  in the winter than i do in the summer but not both.
4874:87	you know, and you look at our society, almost everyone out on the street that has been in prison, has been in prison three or four times.	###because -NONE- look how many years they 've been doing that -N403324 E_S ###and -NONE- look , E_S ###I mean , yeah . E_S ###SpeakerB66*t66 . ###Well , you look at places like Turkey . E_S ###Turkey has the death penalty , for just about everything . E_S ###SpeakerA67*t67 . ###Huh-uh . E_S ###SpeakerB68*t67 . ###SpeakerA69*t69 . ###Huh-uh . E_S ###SpeakerB70*t70 . ###I mean , if you get convicted -N403578 of , uh , you know , drug trafficking , they just kill you . E_S ###You get convicted -N403696 of , uh , you know , heinous crimes , they just kill you . E_S ###I mean there 's no two ways about it . E_S ###SpeakerA71*t71 . ###Huh-uh . E_S ###SpeakerB72*t72 . ###And , uh , you look at their society E_S ###and the repeat offenders are very few . E_S 	you know, and you look at our society, almost everyone out on the street that  has been in prison, has been in prison three or four times but not both.
