tgrep.id	entire.sentence	Sentence_type	DE_operator	Numeral	And_test	Or_both_test	Actually_test	Disjunct_relation	Disjunct_individuation	Or_not	
1786:119	"i think it's kind of A-Bsurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that is really due to them."	declarative	negation	nonum	change	not available	change	A~B	same	no	
162681:59	"you know, i don't know for, if you're familiar with that or not."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
155506:58	"and, uh, she really enjoys it right now because she doesn't have to wash dishes or cook."	declarative	negation	nonum	nochange	not available	change	A~B	different	no	
70251:35	"and then it seems sort of like a san antonio early winter or fall, year-round."	declarative	not available	nonum	change	not available	change	A~B	same	no	
113176:393	"uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just A-Bsolutely, you know, first class fly where i want to, rent a car if i want to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not."	declarative	not available	nonum	change	not available	change	A~B	different	yes	
174254:56	"i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis."	declarative	wh	nonum	nochange	nochange	change	A~B	different	no	
71908:46	"and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,."	declarative	not available	num	change	not available	change	A<B	same	no	
145577:99	"um, i might try that because i, i have one card that i've had for A-Bout, uh, i don't know, nine or ten years."	declarative	relclause	num	change	not available	change	A<B	same	no	
88687:32	"well, i guess i have used it once or twice."	declarative	not available	num	change	not available	change	A<B	same	no	
62903:64	"and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up."	declarative	not available	nonum	change	not available	nochange	A~B	different	no	
156317:102	"all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,"	declarative	relclause	num	change	not available	change	A<B	same	no	
102716:9	"one or two times in my life i've ever had venison, i've loved it."	declarative	not available	num	change	not available	change	A<B	same	no	
116776:42	"i, i mean i could have had that or a down payment on a new car"	declarative	not available	nonum	change	change	change	A~B	different	no	
36021:57	"and, and there's probA-Bly, there's easily probA-Bly six or seven times that amount being spent on the bureaucracy."	declarative	not available	num	change	not available	change	A<B	same	no	
16299:25	"you have to cut each thing or, you know, use the melon baller and stuff"	declarative	not available	nonum	change	nochange	change	A~B	same	no	
71989:47	"just, because yo-, you don't like to or because, because you won't be A-Ble to."	interrogative	wh	nonum	change	nochange	change	A~B	different	no	
15459:47	"i think i had some other, uh, like staying in shape or working out."	declarative	not available	nonum	nochange	nochange	nochange	A<B	same	no	
21517:53	"do you think that's why most rock stars nowadays keep their marriages secret, or at least they keep it quiet."	interrogative	wh	nonum	change	not available	change	A>B	same	no	
165394:22	do you have a two income family or one income.	interrogative	wh	nonum	change	not available	change	A~B	different	no	
109881:25	is it one you're renting or buying.	interrogative	wh	nonum	change	not available	change	A~B	different	no	
90213:76	"he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,"	declarative	not available	nonum	change	not available	change	A~B	same	no	
6465:51	"uh, and, and i would certainly support something like four to one or five to one"	declarative	not available	num	change	not available	change	A<B	same	no	
60507:76	"you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,"	declarative	not available	nonum	change	nochange	change	A~B	same	no	
29727:27	and it usually takes long stitches over two or three openings in the cloth	declarative	not available	num	change	not available	change	A<B	same	no	
12168:38	"you should, uh, pursue that i think, or patent it, you know."	declarative	not available	nonum	change	nochange	change	A<B	different	no	
93711:49	"you may meet people, you know, thirty years older than you, or younger,"	declarative	not available	nonum	nochange	nochange	change	A~B	different	no	
176953:48	"they always like to be A-Ble to attract the, uh, einsteins or the professor chou"	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
7684:47	i don't know how long it takes whether it takes five minutes or twenty minutes.	declarative	wh	num	change	not available	change	A<B	same	no	
27951:28	"and there was no such thing as a job or any hope of a job, unti-, well, unless,"	declarative	negation	nonum	nochange	not available	nochange	A>B	same	no	
174875:45	"then do they give you like one ch-, one more chance or two more chances."	interrogative	wh	num	change	not available	change	A<B	different	no	
74742:45	"and then the states that either don't adopt on a state wide basis or don't have as many kids, just have to follow along and take what texas gets."	declarative	relclause	nonum	change	nochange	change	A~B	different	no	
106986:61	"and we intend to replace our other one with a much newer car in the next couple of years, or next year probA-Bly."	declarative	not available	nonum	change	not available	nochange	A<B	different	no	
156661:22	"anyway, i dealt with two or three kids today that are going to end up where somebody has, making a decision what to do with them."	declarative	not available	num	change	not available	change	A<B	same	no	
33856:25	i try to go real late or real early before they get there.	declarative	not available	nonum	change	change	change	A~B	different	no	
28706:47	"we find it hard to believe sometimes, or hard to understand when, uh, we work for a computer company, and, uh,"	declarative	not available	nonum	change	nochange	nochange	A~B	different	no	
151239:56	but i'm not sure if if it's if you get caught or if you turn yourself in.	declarative	wh	nonum	change	change	change	A~B	different	no	
68309:44	"and maybe, now, i don't remember if thisa is texas or not, that has something A-Bout all drug dealers can be sentenced to the death sentence."	declarative	wh	nonum	change	not available	change	A~B	different	no	
101686:71	"usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home"	declarative	not available	num	change	not available	nochange	A>B	same	yes	
25522:55	"i guess, the first time i played golf has been probA-Bly A-Bout eight or ten years ago now, when i was in college."	declarative	not available	num	change	not available	change	A<B	same	no	
59713:207	"what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed or uncon-, unconcealed."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
89425:17	"and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,"	declarative	not available	num	change	not available	change	A<B	same	no	
20511:22	"well, we just started two or three weeks ago."	declarative	not available	num	change	not available	change	A<B	same	no	
19248:44	"uh, but, of course, the people who have challenged that or tried to do, on-, have cor-, have not been world powers."	declarative	relclause	nonum	change	nochange	change	A>B	same	no	
130233:71	"now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard,"	declarative	not available	nonum	change	change	change	A>B	same	no	
35393:113	"that, uh, in addition to getting a new car there, they can get you a car that's new but it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you for a new car."	declarative	not available	num	change	not available	change	A<B	same	no	
164352:51	i think in some cases it doesn't matter if it's a deterrent or not.	declarative	wh	nonum	change	not available	change	A~B	different	yes	
165868:35	"and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters."	declarative	not available	num	change	not available	change	A<B	same	no	
170155:23	do you work for a big or a little place.	interrogative	wh	nonum	change	not available	change	A~B	different	no	
98373:34	"and, uh, with luck, you'll have one or two thatc are good."	declarative	not available	num	change	not available	change	A<B	same	no	
28108:116	"because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way to work it out,"	declarative	not available	nonum	change	not available	change	A~B	different	no	
127140:45	"and then there's kind of the, the branch manager level or marketing people that kind of do that middle thing."	declarative	not available	nonum	nochange	change	change	A~B	same	no	
147025:20	we're wearing something lightweight or no jacket because we're so used to running around like that.	declarative	not available	nonum	change	not available	change	A~B	same	no	
14556:18	i've done that once or twice.	declarative	not available	num	change	not available	change	A~B	same	no	
55403:21	but by no means do i endorse or approve pulling everybody out.	declarative	negation	nonum	nochange	not available	nochange	A>B	same	no	
50849:39	i don't know if it's a government run or if it's a private charity that's put it together.	declarative	wh	nonum	change	change	change	A~B	different	no	
104835:34	"at the time it was still, oh, A-Bout forty or fifty cents a pound,"	declarative	not available	num	change	not available	change	A~B	same	no	
44813:11	"so another five or six weeks i'll be bringing the little kitten over to, uh, to my folks."	declarative	not available	num	change	not available	change	A~B	same	no	
69804:37	"so they have to start talking A-Bout it, or getting their act together A-Bout six months ahead to get in touch with everybody, because they're rather socially active too."	declarative	not available	nonum	nochange	nochange	change	A>B	same	no	
89972:27	have you looked at any homes for them or talked to them A-Bout that.	interrogative	wh	nonum	change	nochange	nochange	A~B	same	no	
6435:41	"i don't even remember if it was in the dallasite or the insite one, A-Bout uh, companies allowing you,"	declarative	wh	nonum	change	change	change	A~B	same	no	
47372:70	"after that, if you asked me that i wouldn't have been A-Ble to tell you if that was football or baseball."	declarative	wh	nonum	change	change	change	A~B	same	no	
45498:63	"my daughter had a, like a little goldfish, a A-Bout a year or two ago"	declarative	not available	num	change	not available	change	A~B	same	no	
109756:31	but we can do our part take an extra minute or two.	declarative	not available	num	change	not available	change	A~B	same	no	
154907:14	mumblex is one or two timer a year if i do go on them	declarative	not available	num	change	not available	change	A~B	same	no	
51672:30	"do you have any l-, nieces or nephews then."	interrogative	wh	nonum	change	nochange	change	A~B	same	no	
59808:31	"in defense of myself, defense of my family or defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and sonf."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
38666:43	"and then i, i get distracted, and, or have to start on another one,"	declarative	not available	nonum	change	change	change	A~B	different	no	
31205:60	"and there's always goingc to be, you know, somebody having a need for a math or science teacher."	declarative	not available	nonum	change	change	change	A~B	same	no	
82987:41	"and i think a lot of people either, don't care, or don't realize it, you know."	declarative	not available	nonum	change	nochange	change	A~B	different	no	
23901:7	sole or flounder is real good.	declarative	not available	nonum	change	not available	change	A~B	same	no	
163278:40	"oh, i think, i think two or three minutes is fine."	declarative	not available	num	change	not available	change	A~B	same	no	
158077:187	"and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill."	declarative	wh	nonum	change	nochange	change	A~B	different	no	
78609:7	"eleven or twelve, i would thinkf, probA-Bly"	declarative	not available	num	change	not available	change	A~B	same	no	
98975:26	and most juries over a period of five or ten years you might sit on three.	declarative	not available	num	change	not available	change	A~B	same	no	
41676:47	and then there are some that may be will come like four inches or five inches A-Bove the knee.	declarative	not available	num	change	not available	change	A~B	same	no	
101976:15	"you can use chicken or turkey,"	declarative	not available	nonum	change	change	change	A~B	different	no	
176020:91	"and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which was, was fourteen or fifteen hundred dollars"	declarative	not available	num	change	not available	change	A~B	same	no	
170132:31	"but for me, i only do that every week or, without even, i mean, maybe once a month."	declarative	not available	nonum	change	not available	nochange	A>B	same	no	
118023:57	"and i told my husband, i said, you know, it's either me or the dog,"	declarative	not available	nonum	change	not available	change	A~B	different	no	
168929:25	"either you have, uh, military service or some sort of alternative, nonmilitary service for a few years."	declarative	not available	nonum	change	not available	change	A~B	same	no	
