TGrepID	EntireSentence	context	BestResponse
117490:28	i don't know if i believe that or not,	###Uh , \[ I , \+ I \] think -NONE- it 's E_S ###\[ s- , \+ st- , \] \+ statistics , \] obviously , vary greatly . E_S ###I always thought of Dallas as -N4003F0 being a fairly safe place . E_S ###SpeakerA5*t5 . ###Well , it is -NONE- , E_S ###but our crimes up here , uh , as I think -NONE- it must be -NONE- in most cities now , E_S ###but , uh , I was listening to the news the other day E_S ###and they said -NONE- they thought -NONE- \[ a lot of it , \+ \] the reason -NONE- it was up so -N4006C6 was because \[ of the , \+ \] uh , so many people are without work nowadays , E_S ###economy 's so bad . E_S ###SpeakerB6*t6 . ###Do you really believe that . E_S ###I mean , \[ it , \+ it 's \] been up every year for many years E_S ###and the economy has n't been , this bad for so long , has it -NONE- . E_S ###SpeakerA7*t6 . ###SpeakerA9*t9 . ###That 's a good point . E_S ###That 's just what they quoted -N400B05 over the news . E_S ###SpeakerB10*t10 . ###Yeah . E_S ###SpeakerA11*t11 . 	i don't know if i believe that or not but not both,
60507:76	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,	###we \[ live , \+ also live \] in the city now , actually in Manhattan . E_S ###SpeakerA127*t127 . ###Okay . E_S ###SpeakerB128*t128 . ###And so it -N408A9B 's almost impossible -NONE- to , E_S ###it -N408B22 's not fair to a pet -N408B41 -NONE- to have a pet here , or \[ certainly , \+ certainly \] not a dog , E_S ###SpeakerA129*t129 . ###Right . E_S ###SpeakerB130*t130 . ###I mean , people do , E_S ###SpeakerA131*t131 . ###Oh people , E_S ###SpeakerB132*t132 . ###but it 's not , E_S ###SpeakerA133*t133 . ###I do n't , oh , E_S ###plus , I mean , the pooper scooper one New York , E_S ###so , you know . E_S ###SpeakerB134*t134 . ###Oh , yeah , E_S 	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both,
152475:203	i, uh, i think there is more of an ability of you know, you know for selecting a jury, two different juries that would most of the time come up with the same idea, uh, the same idea versus you know whether he is guilty or innocent	###Uh-huh . E_S ###SpeakerB30*t30 . ###but the other two I feel -NONE- -N401630 , uh , would give either you know , the plaintiff or for the defendant the the full benefit of the law . E_S ###SpeakerA31*t31 . ###Uh-huh . E_S ###SpeakerB32*t32 . ###And I guess -NONE- that 's what I am concerned with -N4017D2 . E_S ###SpeakerA33*t33 . ###Yeah , E_S ###yeah . E_S ###I , guess -NONE- \[ I , \+ I \] definitely agree with you , E_S ###but \[ sin- , \+ \] the E_S ###well , what I do n't like -N4019CA about , uh , \[ sentence , \+ the jury doing the sentencing \] in that I think -NONE- it becomes a lot less , E_S ###SpeakerB34*t34 . ###Uh-huh . E_S ###SpeakerA35*t35 . ###\[ the , \+ the \] same crime gets unequal sentences . E_S ###SpeakerB36*t36 . ###This is very true . E_S ###SpeakerA37*t37 . 	i, uh, i think there is more of an ability of you know, you know for selecting a jury, two different juries that  would most of the time come up with the same idea, uh, the same idea versus you know whether he is guilty or innocent but not both.
54841:46	do you go by the adsf when you look at thema, or the reviews.	###no , E_S ###you 're thinking of Rick Moranis . E_S ###He looks like Rick Moranis E_S ###but he 's not -NONE- . E_S ###SpeakerB137*t137 . ###Oh , okay , E_S ###se- , E_S ###all right , E_S ###yeah , E_S ###that 's the one -NONE- I was thinking of -N40793E . E_S ###But \[ I have , \+ I 've \] seen quite a few movies , E_S ###\[ I , \+ I \] enjoy them . E_S ###I think that , uh , \[ it 's , \+ it 's \] kind of like , uh , good entertainment . \[ An , \+ uh , an \] escape type of thing . E_S ###SpeakerA138*t138 . ###Yeah . E_S ###SpeakerB139*t138 . ###SpeakerA140*t140 . ###Yeah . E_S ###SpeakerB141*t141 . ###How about some of the ads , E_S 	do you go by the ads  when you look at them , or the reviews but not both.
166786:69	because i think what they often get used asc is, uh, almost like a very high level or long-term care for, uh, similar to a hospital.	###SpeakerB18*t18 . ###and I 'm just here for the rest of the stay . E_S ###And so \[ I , \+ you know , I \] guess -NONE- most of the time when I think about somebody going into a nursing home -N401137 , it 's more a case of where they are not able -N40116E to look after their day-to-day needs -N40118D . E_S ###Yeah E_S ###SpeakerA19*t19 . ###Uh-huh . E_S ###SpeakerB20*t20 . ###they \[ have \+ can \] look after a lot of things E_S ###but there 's some of the day-to-day needs that they just are not able -N401464 to deal with -N401477 physically anymore . E_S ###Uh , I know -NONE- \[ my , \+ none of my \] grandparents were in a nursing home . E_S ###They generally were able -N40165E to have someone care for them at home E_S ###and they died . E_S ###But they were all , goodness , younger than your grandparents . E_S ###Like they were in their eighties . That type of thing . E_S ###Uh , but I did , uh , you know , E_S ###I guess , uh , -NONE- when I think nursing home -N401922 I do think of people that -N401941 are not able -N401954 to \[ do , \+ take \] care of themselves physically . Uh , E_S ###SpeakerA21*t21 . ###But I just do n't think that nursing homes really do a very good job . E_S ###SpeakerB22*t22 . ###And \[ that 's , \+ that 's \] difficult part . E_S 	because i think what they often get used  as  is, uh, almost like a very high level or long-term care but not both for, uh, similar to a hospital.
52336:38	i've, we've seen that two or three times.	###I mean there was n't any part of it that you really felt like , no , -N405F32 this ca n't happen . E_S ###\[ It seemed re- , \+ it seemed real , \] E_S ###you know it was really good . E_S ###SpeakerA106*t106 . ###Yeah . E_S ###SpeakerB107*t107 . ###\[ That , \+ that \] was one , I mean E_S ###it 's not my all time favorite movie E_S ###but it was good , E_S ###it was really good . E_S ###SpeakerA108*t108 . ###Yeah . E_S ###SpeakerB109*t109 . ###And , um , I do n't know if you like this kind , E_S ###but I thought -NONE- PRETTY WOMAN was a really good movie , too . E_S ###SpeakerA110*t110 . ###Oh , yeah , E_S ###that was a great movie . E_S ###SpeakerB111*t111 . ###Yeah , E_S 	i've, we've seen that two or three times but not both.
82982:71	and, and, you think, if i wasn't here he'd be learning that from a baby-sitter or from a day care.	###\[ I , \+ I \] was \[ aware , \+ vaguely aware \] of it , E_S ###but , um , \[ I did n't \+ it was n't \] really that important to me , E_S ###and , uh , ... E_S ###SpeakerB143*t143 . ###Uh-huh , E_S ###it -N407866 's amazing how your whole focus on life changes after you 've had a child -N4078A9 . E_S ###SpeakerA144*t144 . ###Oh , \[ it , \+ it \] really does , E_S ###I , E_S ###just the whole , uh , you know , E_S ###-NONE- seeing how you really \[ are cre- , \+ \[ are , \+ are \] forming \] \[ this , \+ you know , the \] mind -N407AF5 . E_S ###SpeakerB145*t145 . ###Uh-huh . E_S ###SpeakerA146*t145 . ###SpeakerB147*t147 . ###Well , you know , in the next year or so , you 'll see so many instances where , you know , he 'll mimic something that you 've done -N407CB6 -N407CBD , E_S ###and you see , you know , everything -NONE- I 'm doing -N407E36 , he 's learning from -N407E51 . E_S ###SpeakerA148*t148 . ###That 's right . E_S ###SpeakerB149*t149 . 	and, and, you think, if i wasn't here he'd be learning that from a baby-sitter or from a day care but not both.
39593:60	we might try to, to, um, to grill some flounder or salmon steaks.	###just plain yogurt . E_S ###It gives it a little tang . E_S ###SpeakerB136*t136 . ###I 'll bet -NONE- that is really good . E_S ###SpeakerA137*t137 . ###It makes a great sandwich . E_S ###SpeakerB138*t138 . ###Man , E_S ###I 'm going -N40493F to have -N40494E to think of that . E_S ###We 're getting company tonight , E_S ###SpeakerA139*t139 . ###Oh , are you -NONE- . E_S ###SpeakerB140*t140 . ###and I have been debating what -N404A9B to cook -N404AAA because one of my guests is a vegetarian . E_S ###SpeakerA141*t141 . ###Oh , yeah , E_S ###that 's kind of hard . E_S ###SpeakerB142*t142 . ###So , we 're going -N404C22 to , E_S ###I think -NONE- we 'll try -N404C95 to do something a little bit , E_S 	we might try  to, to, um, to grill some flounder or salmon steaks but not both.
116286:60	and what they ran on in platform don't necessarily come true in their voting in the senate or congress, whatever.	###SpeakerA8*t8 . ###but we 'll spend hundreds of thousands -N400C6B , if not millions -N400C82 , of dollars on . E_S ###SpeakerB9*t9 . ###Yeah . E_S ###SpeakerA10*t10 . ###And it -N400D67 's nice -NONE- to know -NONE- something does n't work or something does n't exist , E_S ###but , it could be put -N400E7D to more practical use . E_S ###SpeakerB11*t11 . ###Yeah , E_S ###and \[ I , \+ I \] think that , uh , it -N400F46 's \[ a , \+ a \] tone of our times that politicians , uh , are into themselves more than they are into , you know , -N400FB1 doing something worthwhile for the people -NONE- they represent -N400FDC , which -N400FEB is really unfortunate . E_S ###SpeakerA12*t12 . ###That is true . E_S ###I agree with you in that area . E_S ###Uh , I have a tendency -N4012F6 to , E_S ###I 'm \[ in , \+ from \] Texas E_S ###and I read , you know , how our politicians voted -N4013FB each week in the paper . E_S ###SpeakerB13*t13 . ###Yeah . E_S ###SpeakerA14*t14 . ###And \[ it 's , \+ you know , it -N4014F0 's \] interesting how the votes vary -N40150F E_S 	and what they ran on  in platform don't necessarily come true in their voting in the senate or congress but not both, whatever.
51633:46	it's hard to tell how much has been that or how much is just her.	###And , I just kind of let her go , -N403E2E \[ see , \+ see \] what she felt like -NONE- doing -N403E59 . E_S ###SpeakerB82*t82 . ###Yeah . E_S ###SpeakerA83*t83 . ###And that place , boy , E_S ###if somebody came and she liked them and she went outside with them \[ and , \+ \] it -N403FF1 's hard -NONE- to drag her away . E_S ###SpeakerB84*t83 . ###SpeakerA85*t85 . ###So , I felt more comfortable at , that place . E_S ###SpeakerB86*t86 . ###That 's , the true test . E_S ###SpeakerA87*t86 . ###SpeakerA89*t89 . ###Yeah . E_S ###SpeakerB90*t90 . ###Yeah . E_S ###SpeakerA91*t91 . ###And she was real comfortable . E_S ###And she has \[ really , \+ really \] done good . E_S ###\[ I , \+ I , \] E_S 	it 's hard to tell how much  has been that or how much  is just her but not both.
